"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","Restful Booker API","0","Booking","4","0","Обновление брони","0"
"0","Restful Booker API","0","Booking","4","0","Получение списка броней","0"
"0","Restful Booker API","0","HealthCheck","1","0","Сервер доступен","0"
"0","Restful Booker API","0","Booking","2","1","Удаление брони","0"
"0","Restful Booker API","0","Booking","1","1","Создание брони","0"
"0","Restful Booker API","0","Authorization","2","0","Неуспешная авторизация","0"
"0","Restful Booker API","0","Booking","1","2","Фильтрация по checkin","0"
"0","Restful Booker API","0","Booking","0","3","Фильтрация по checkout","0"
"0","Restful Booker API","0","Booking","2","1","Получение брони по ID","0"
"0","Restful Booker API","0","Booking","2","0","Частичное обновление","0"
"0","Restful Booker API","0","Authorization","1","0","Успешная авторизация","0"
